Data,Abertura,Máxima,Mínima,Fechamento,Fech. Sem div,Volume Financeiro
26/06/2020,21.04,21.32,20.63,20.69,20.69,935102334
25/06/2020,21.11,21.54,20.82,21.35,21.35,861082045
24/06/2020,21.43,21.63,20.71,20.85,20.85,952677708
23/06/2020,22,22.1,21.34,21.55,21.55,790334874
22/06/2020,22.39,22.48,21.48,21.58,21.58,812238102
19/06/2020,22.65,22.77,21.86,22.36,22.36,1626025168
18/06/2020,22.11,22.76,21.95,22.3,22.3,1219012652
17/06/2020,22,22.82,21.99,22.38,22.38,1209441461
16/06/2020,21.99,22.28,21.49,22.03,22.03,1146248330
15/06/2020,21,21.5,20.8,21.15,21.15,1412435004
12/06/2020,21.35,21.84,21.19,21.63,21.63,1589301764
10/06/2020,23.4,23.48,21.8,21.88,21.88,1362493991
09/06/2020,22.86,23.41,22.63,22.95,22.95,1186177130
08/06/2020,22.7,23.5,22.6,23.47,23.47,1330640521
05/06/2020,23.34,23.63,22.18,22.3,22.3,1656136160
04/06/2020,21.39,22.16,21.01,21.9,21.9,1261288709
03/06/2020,21.64,22,21.36,21.59,21.59,1639869208
02/06/2020,20.17,20.7,20.04,20.67,20.67,966474601
01/06/2020,18.87,19.92,18.77,19.78,19.8,1181087758
29/05/2020,19.08,19.08,18.45,18.93,18.95,1311855427
28/05/2020,19.35,19.64,19.04,19.08,19.1,701040016
27/05/2020,19.58,19.7,19.16,19.52,19.54,610672508
26/05/2020,20.47,20.52,19.05,19.19,19.21,1183582878
25/05/2020,19.57,20.13,19.25,20.06,20.08,815978985
22/05/2020,18.41,18.98,18.22,18.73,18.75,764618162
21/05/2020,17.79,18.78,17.7,18.62,18.64,960660943
20/05/2020,17.59,17.81,17.36,17.65,17.66,487397276
19/05/2020,17.93,17.99,17.47,17.47,17.48,612088796
18/05/2020,17.94,18.06,17.43,18,18.01,850829247
15/05/2020,17.73,18.02,17.1,17.1,17.11,697564194
14/05/2020,16.66,17.9,16.1,17.87,17.88,1157623114
13/05/2020,17.27,17.5,16.6,16.94,16.95,902012469
12/05/2020,17.91,17.96,17.09,17.09,17.1,704964265
11/05/2020,17.79,18.54,17.64,17.64,17.65,545283274
08/05/2020,17.63,18.12,17.46,17.91,17.92,709274556
07/05/2020,18.04,18.07,16.99,17.14,17.15,1219134043
06/05/2020,18.33,18.42,17.68,17.91,17.92,748530891
05/05/2020,18.48,19.02,18.15,18.29,18.3,941828972
04/05/2020,18.68,18.71,18.05,18.27,18.3,804854211
30/04/2020,19.02,19.56,19.02,19.12,19.15,1341006280
29/04/2020,20.5,20.69,19.86,20.61,20.64,746857940
28/04/2020,19.52,20.22,19.36,19.94,19.97,1132402671
27/04/2020,18.61,19.03,18.12,18.33,18.36,810085325
24/04/2020,19,19.19,17.17,17.81,17.84,1300056639
23/04/2020,19.87,20.12,19,19.32,19.35,835153608
22/04/2020,19.47,20.11,19.34,19.6,19.63,852159724
20/04/2020,19.85,20.05,19.52,19.67,19.7,814816581
17/04/2020,20.45,20.65,19.73,20.33,20.36,535706113
16/04/2020,20.78,20.8,19.88,19.94,19.97,588008357
15/04/2020,20.7,21.02,20.37,20.47,20.5,742325494
14/04/2020,21.46,22.02,21.07,21.07,21.11,740993882
13/04/2020,20.3,20.85,19.78,20.85,22.97,716591402
09/04/2020,20.6,21.13,20.2,20.32,22.39,851860035
08/04/2020,19.88,20.71,19.72,20.33,22.4,754613060
07/04/2020,20.42,20.81,19.76,19.8,21.82,820909212
06/04/2020,18.73,19.4,18.63,19.09,21.03,1189406125
03/04/2020,17.97,18,16.54,17.43,19.21,773623212
02/04/2020,18.01,18.5,17.81,18.11,19.95,595575959
01/04/2020,18.14,18.29,17.57,18.01,19.86,504670530
