Data,Abertura,Máxima,Mínima,Fechamento,Fech. Sem div,Volume Financeiro
2009-02-02,4.75,4.87,4.74,4.76,20.23,124887913.0
2009-02-03,4.76,4.8,4.73,4.78,20.3,104406853.0
2009-02-04,4.83,5.0,4.82,4.92,20.9,202409932.0
2009-02-05,4.87,5.18,4.86,5.09,21.6,145433413.0
2009-02-06,5.15,5.37,5.12,5.33,22.63,212571150.0
2009-02-09,5.27,5.39,5.24,5.34,22.67,107347619.0
2009-02-10,5.4,5.54,5.1,5.2,22.07,213308203.0
2009-02-11,5.23,5.4,5.21,5.28,22.44,151843777.0
2009-02-12,5.21,5.25,5.11,5.14,21.82,128775926.0
2009-02-13,5.28,5.31,5.16,5.31,22.55,110450006.0
2009-02-16,5.26,5.28,5.19,5.28,22.43,37481666.0
2009-02-17,5.18,5.19,4.97,5.07,21.53,182377972.0
2009-02-18,5.11,5.16,4.98,5.1,21.65,108248823.0
2009-02-19,5.18,5.18,4.99,5.04,21.4,110166110.0
2009-02-20,4.91,4.95,4.78,4.83,20.51,153931928.0
2009-02-25,4.76,5.06,4.76,4.94,21.0,91462103.0
2009-02-26,5.06,5.13,4.98,4.98,21.15,113546846.0
2009-02-27,4.9,5.03,4.86,4.87,20.7,91581910.0
2009-03-02,4.8,4.87,4.66,4.69,19.9,153530405.0
2009-03-03,4.76,4.78,4.55,4.67,19.81,139419309.0
2009-03-04,4.8,4.93,4.75,4.91,20.84,196087633.0
2009-03-05,4.78,4.88,4.72,4.81,20.4,102837286.0
2009-03-06,4.84,5.0,4.8,4.92,20.87,126671864.0
2009-03-09,4.82,4.94,4.73,4.78,20.27,108074857.0
2009-03-10,4.85,5.06,4.83,5.06,21.49,137849453.0
2009-03-11,5.07,5.14,4.95,5.02,21.3,146567926.0
2009-03-12,4.98,5.18,4.98,5.15,21.86,151879173.0
2009-03-13,5.2,5.23,5.04,5.11,21.7,148881799.0
2009-03-16,5.18,5.28,5.09,5.14,21.82,137185393.0
2009-03-17,5.12,5.23,5.05,5.23,22.2,110583531.0
2009-03-18,5.18,5.42,5.12,5.33,22.63,185135690.0
2009-03-19,5.41,5.42,5.13,5.16,21.91,191977519.0
2009-03-20,5.19,5.19,5.05,5.07,21.51,119041397.0
2009-03-23,5.21,5.46,5.16,5.44,23.1,233065854.0
2009-03-24,5.31,5.42,5.31,5.33,22.61,117070105.0
2009-03-25,5.37,5.52,5.25,5.37,22.8,147686733.0
2009-03-26,5.45,5.57,5.37,5.53,23.45,117283772.0
2009-03-27,5.47,5.59,5.42,5.56,23.58,99720302.0
2009-03-30,5.42,5.46,5.34,5.38,22.84,128964594.0
2009-03-31,5.44,5.52,5.37,5.44,23.1,124455925.0
2009-04-01,5.37,5.62,5.37,5.6,23.78,112709866.0
2009-04-02,5.76,5.86,5.76,5.77,24.47,183366656.0
2009-04-03,5.77,5.89,5.71,5.89,25.0,148807953.0
2009-04-06,5.86,5.96,5.79,5.95,25.25,158150615.0
2009-04-07,5.87,6.02,5.83,5.92,25.1,126934669.0
2009-04-08,5.92,6.03,5.87,5.99,25.42,145339029.0
2009-04-09,6.08,6.25,6.08,6.24,26.45,173255244.0
2009-04-13,6.2,6.26,6.14,6.24,26.45,140533405.0
2009-04-14,6.24,6.25,6.0,6.03,25.56,169496445.0
2009-04-15,5.99,6.08,5.92,6.04,25.6,146971641.0
2009-04-16,6.07,6.22,6.02,6.21,26.35,120978188.0
2009-04-17,6.18,6.23,6.12,6.18,26.2,84289391.0
2009-04-20,6.08,6.08,5.91,5.92,25.1,82588213.0
2009-04-22,5.94,6.01,5.86,5.86,24.86,120328803.0
2009-04-23,5.93,6.13,5.87,6.12,25.96,162472975.0
2009-04-24,6.12,6.24,6.1,6.19,26.26,125026570.0
2009-04-27,6.11,6.15,5.97,5.97,25.33,89203614.0
2009-04-28,5.89,6.12,5.85,6.04,25.6,122010556.0
2009-04-29,6.11,6.39,6.08,6.39,27.12,202949425.0
2009-04-30,6.48,6.52,6.34,6.39,27.09,150001916.0
2009-05-04,6.54,6.7,6.37,6.7,28.4,166271438.0
2009-05-05,6.65,6.9,6.64,6.87,29.1,185333354.0
2009-05-06,6.91,7.11,6.89,6.96,29.51,252063311.0
2009-05-07,6.97,7.03,6.59,6.66,28.22,219480490.0
2009-05-08,6.84,6.85,6.61,6.84,29.0,170247611.0
2009-05-11,6.79,6.79,6.55,6.66,28.25,169007697.0
